id,subset,start_sec,end_sec,duration_sec,transcript_raw,source,audio_url
10300-011,train-ut,76.680,86.530,9.850,"""아이고 아들 살아난 디 안직은 #생운 아니꽈게"" ""겨고 메느리 #쉐가 막 그디 #데메어젼야"" 돈주게 안됏우다게 겨고 아덜게",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-012,train-ut,87.240,90.610,3.370,안직은 아니 지금 간 디가 잘 갓인게 할망 혼자 사는 디 가난 어!,elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-013,test-id,91.300,96.640,5.340,"혼자 사는디, 잘도 존 디 갓저게. 응 할머니광 입벗도 허고게. 어. 밤에.",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-014,train-ut,97.430,101.490,4.060,말도 베웁곡. 야. 그 할머니안띠 말도 배웁고. 응,elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-015,train-ut,102.440,109.230,6.790,"겐디, 우리겉이 소상소상 ㄱ.ㄹ아주느냐? 뭐 이디 저디 사름 찾- 첮아 보민,",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-016,train-ut,109.750,113.220,3.470,겐디 또 신촌도 ㄸ.ㄴ나곡 뭐 김녕도 ㄸ.ㄴ나곡 ㄸ.ㄴ나고,elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-017,train-ut,115.430,121.310,5.880,김녕은 동춘이라. 그디ㄱ.라이 우리 이디선 동이엥 헌다. 동? 아 응,elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-018,train-ut,122.480,125.260,2.780,"아이고 저 한경면 두민 가난야,",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-019,train-ut,127.070,134.760,7.690,"저 우리집이 큰아덜 떠문에 그디두 두번 갓다왓주게. 그날 오지 못헤엉, 시에 할머니네 집이 들엉 밤 그 물애기,",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-020,train-ut,136.420,140.040,3.620,"장 오젱 허믄예, 늑신네 사는디,",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-021,train-ut,140.780,143.130,2.350,"미안헤영야, ㅎ.ㄴ번은 기냥,",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-022,train-ut,143.920,147.970,4.050,"얻- 시에 완, 어둑언 차 엇어부난,",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-023,train-ut,149.120,151.550,2.430,"기냥 애기 짊어졍 밤이,",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-024,train-ut,152.620,157.080,4.460,"걸언 오는디, 저,",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-025,train-ut,157.910,164.810,6.900,"이제, 거, 시에 가는디ㄱ.라 ㄱ.으니머리엔 헨에 잇지 않으꽈? 응 그디 못옴에 오난,",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-026,train-ut,166.010,169.710,3.700,추럭이 동더레 가단 세완.,elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-027,train-ut,170.870,175.540,4.670,"""아이고 애기어멍 어드레 가는 사람이꽈"" 게나 ""아이고 신촌 가는디 차 엇어부난"",",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-028,train-ut,176.130,184.250,8.120,"""아이고 나 삼양까진 싞어다 안네쿠덴"", 삼양은. 감시난, 삼양꺼지만 싞어다 주는 것도 어디꽈게!",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-029,train-ut,185.120,187.490,2.370,"이젠 삼양ㄲ.지 완 네련야,",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-030,test-id,188.510,191.660,3.150,그거 애기 아판 뎅길 뗀야 ㅁ.습도 아녑데다.,elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-031,train-ut,192.220,194.830,2.610,"그 떼, 스뭀두살이라.",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-032,train-ut,195.820,198.710,2.890,"뭐 찾이고 다니멘? 경하난,",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-033,train-ut,199.380,202.680,3.300,그디서 신촌을 와도야 ㅁ.숩질 아니헙데다 #오밤.,elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-034,train-ut,203.690,207.220,3.530,"견디, 아 거기에 말은야",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-035,train-ut,208.330,211.880,3.550,"간 앚안에 머 허나 ""아이구 애기 어멍은 어디서 오-""",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-036,test-id,212.540,215.450,2.910,"저 ""왓이니"" 허질 아니허고,",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-037,train-ut,216.370,224.080,7.710,"""어디서 오-"" ""오메"" 머엔 헤냐 겨난, ""어디서 완?"" 허나 어 엇- 말이 헤꼼 틀련 겨나,",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-038,train-ut,225.300,231.150,5.850,"""나 저 시 조ㄲ.ㅅ디 신촌서..."" - ""...아이고 동이서 왓구나게!"" 경허난, 난 그때 어린 때난,",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-039,train-ut,231.860,234.910,3.050,"""써운헤라"" ㅎ.메, 그디. 경허난 난,",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-040,train-ut,235.580,240.950,5.370,"""아 우리 동 아니우다 동이 아니우다 우리는"" #동이엔을 #헤게 시에주. 어",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-041,train-ut,241.730,248.870,7.140,"""아이고게 그디가 동이주게!"" 경허난, ""아이고 우리야 동이 아니우다, 동이 ㄸ.루 잇우다 저 동더레 간 디"", 경허난,",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-042,train-ut,250.000,252.260,2.260,"서춘선 이렌 동이엥 허주게. 어 겨난,",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-043,train-ut,252.780,256.600,3.820,그디 주연 할망이 막 늙은 할망입데다게.,elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-044,train-ut,258.170,261.330,3.160,"""야야 그디..."" ""ㄷ.ㄹ렝이 가져오라!"" 경허난,",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-045,train-ut,261.940,270.800,8.860,"그디 어떤 할망안티 조ㄲ.ㄷ디서, ""ㄷ.ㄹ렝이도 집이 앗아와집네까?"" 난 밧ㄷ.ㄹ렝이 #앗앙 #완 들언야! 하하",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-046,train-ut,271.370,274.490,3.120,"""밧ㄷ.ㄹ렝이도 집이 앗아와집네까?"" 경허난,",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-047,train-ut,275.940,279.180,3.240,"""아이고게!"" ""영...""",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-048,train-ut,280.100,286.580,6.480,"저, 구덕이엔 아니헨 큰ㄷ.ㄹ렝이엔 허더라! 큰 구덕은 큰ㄷ.ㄹ렝이 조근건 조근 ㄷ.ㄹ렝이. 경허난.",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-049,train-ut,288.250,291.250,3.000,"""아이구 우리 동네에선야 바구니엔 허는디,""",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-050,train-ut,291.830,296.560,4.730,"""ㄷ.ㄹ렝이엔 허난 난 밧돌렝이를 이제 들-,"" ""우리 동네선야 밧, 밧",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-051,train-ut,297.510,300.170,2.660,"조근 거ㄱ.ㄹ아 돌렝이엔 헙네다게"" 경허난,",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-052,test-id,301.130,307.680,6.550,"그디광 이디도 틀려 경헌디 그디 그 당시엔, 우리집이 슷- ㄷ- 큰나덜이 세살에난야,",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-053,train-ut,309.280,319.750,10.470,"다 광목에 물들인 몸뻬덜 입어십데다. 으응... 그디. 이딘 광목에, 거 머- 물들영, 입은 사람이 엇엇주게! 견디 완전",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-054,train-ut,319.750,323.460,3.710,완전 촌이더라 그디 경허난. 왕 어디 감ㅅ젠,elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-055,train-ut,324.520,332.380,7.860,"""빨리 강 오라!""엔 헌 말도 ""와랑와랑 강 오라이!"" 영 허고. 아 겨나네, ㅎ.꼼 이시난, ""아이고 거 잘도 비싸다"" 허는 말은 ""아이구 써운헤언, 써운허다"" 허국. 응",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-056,train-ut,333.000,343.080,10.080,"""어디 가아아안 오메에에엔?"" 허고야! 응 또 응 어 ""어디 가멘, 어디 가느녜?"" ""오멘, 어디가안- 어디간-"" ""거 헤불엇어?"" 어 ""거 헤- 헤 불언?"" ""경 헤불라!"" 막 영 헤엉이?",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-057,train-ut,343.080,350.910,7.830,"응 ""왈랑 왈랑 해불라!"" 어 ""해불라!"" ""왈랑 왈랑 헤불라게!"" ""야야,..."" 빨리 허라는 말은 ""왈랑 왈랑 헤불라!"" 야. 겨나 그디 할망이 마리에 앚안에야,",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-058,train-ut,351.470,356.310,4.840,"그디 젊은 사름이, ""야야 그거이 저숫- -뎃",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-059,train-ut,356.830,360.450,3.620,"ㅊ.ㅈ아근에 젓어불라!""겨난, ""저숤대가 무시건고..."",",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-060,train-ut,360.990,366.210,5.220,남술ㄱ.ㄹ아 젓을. 어 무시건고 헤언 ㄱ.만이 거,elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-061,test-id,367.020,371.900,4.880,"부억더레 ㅊ.레헐 떼 기다리언 ㄱ.만이 보난, 우리 이디 밥자,",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-062,train-ut,372.410,377.410,5.000,"하하, 낭밥자야, 이만이 긴 거 앗아단 그걸루 젓어, 경허난,",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-063,train-ut,378.620,385.580,6.960,"""아 저것ㄱ.ㄹ아 젓술데엔 헴ㅅ구나!"" 경허난, 응 천천히 일어나렌 헌 말도 놀멍 일어나렌 허곡. 겨난,",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-064,test-id,386.440,389.300,2.860,"천천히엔 허는 말은 놀멍 허렝 #허고. 그거 밥허기 전에,",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-065,train-ut,390.670,395.610,4.940,"""저 존팍으로이,"" ""저 ㅅ- 두 게만 놩 허라!""",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-066,train-ut,397.100,404.160,7.060,아 좀으-,elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-067,train-ut,405.250,407.590,2.340,존팍. 좀팍 인] 존팍이엔 허난 좀먹은 박세기 아니꽈? 솘박ㄱ.ㄹ아 존팍.,elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-068,train-ut,408.420,411.960,3.540,존팍으로 저... 작박ㄱ.ㄹ안 데약- 데약세기.,elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-069,train-ut,413.110,423.540,10.430,"데약세기엔 헷인가? 데약세기. 두사발만 놩 허렌 허는 건 #난게 #두 갯만, #데약세기렌 #허주. 경헌디 존팍이엔도 허더라! 우린 작박이엥 허는디 그딘",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-070,train-ut,423.540,425.760,2.220,"그딘 데약세기. 존팍이엔 헙데다 경허난,",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-071,train-ut,426.470,430.120,3.650,"이딘, 경허난, ""아유 데약세기.",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-072,train-ut,430.670,434.010,3.340,"우리 세계광 이디 말야 막 틀리우다."" 데약세기.",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-073,train-ut,434.550,442.900,8.350,"""우린야 ㅂ.른구덕, 짌구덕, 저 조근구덕이엔 ㅎ.는디 이디ㄱ.ㄹ아 무신 존팍이엔 #헙네까?""",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-074,train-ut,443.670,447.980,4.310,"""존팍""이렌 ""우굼""이여 ""저수에""여 ""ㄷ.ㄹ렝이""여...",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-075,train-ut,448.600,451.810,3.210,"아이구 경허난, ""아이고""",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-076,train-ut,452.340,457.020,4.680,"""저,"" ""다 ㅁ.- 말 고는게 다 틀려.""",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-077,train-ut,457.950,463.790,5.840,"다 틀려, ### 경헌디, 우리 아ㄷ.ㄹ 화상입언 서울 갈 떼 서- 서귀포 저,",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-078,train-ut,464.370,467.480,3.110,"아이 다 ㄱ.ㄸ이 뭐허는 석에 또, 또",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-079,train-ut,468.230,476.280,8.050,"간 이젠, 거 줏- 보호자실을야, 아이고 옛날 4.3사건 생각이 납데다, 그때 허난.",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-080,train-ut,477.380,480.870,3.490,"화상환자 줄, 쭈욱 두 줄.",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-081,train-ut,481.590,492.000,10.410,"다른... 저 병원에 그 보호자덜 사는딘 다 ㅎ.ㄴ줄썩 벢이 엇인디, 그 한강 ?섬싱 병원에는",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-082,train-ut,492.320,497.980,5.660,"병원에는 화상환자가 하난야, 교통 사고 난 사람 ㅎ.ㄴ줄,",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-083,train-ut,498.870,502.870,4.000,"또 기냥, 에기... 그디 무시거엔 써",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-084,train-ut,503.820,506.620,2.800,"어디 이디? 어, 몰라. 몰라.",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-085,train-ut,507.230,515.560,8.330,"겨난, 겨난 두줄 석줄 우리 화상환자 두줄 허난 다섯줄이라. 응.",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-086,train-ut,516.460,521.350,4.890,"그, 구들, 요 부억으로 이디만인 헙데다게.",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-087,train-ut,522.100,527.220,5.120,"경헌 디서, 보온밥통 헤언 밥덜 돈",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-088,train-ut,527.860,532.870,5.010,"돈 모두안덜야, 화상환자끼리 멧시 헨 먹고,",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-089,train-ut,534.130,542.510,8.380,"것도 다 틀려. 교통사고 난 사람 ㅎ.ㄴ줄, 기냥 개인으로 애기 머 허단 허연 거 ㅎ.ㄴ줄,",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-090,train-ut,543.880,546.060,2.180,"또 우리 화상환자 두줄,",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-091,train-ut,546.760,555.870,9.110,"또 하나 아- 줄은 므시거 헌 환자라니 한게, 다섯줄이라. 겐디 화상환자만 두 ㅈ- 두줄이라, 젤 하.",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-092,train-ut,557.450,560.190,2.740,"아 경허난, 처음에 가난,",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-093,train-ut,561.810,565.220,3.410,"이젠 이디서 갈 떼, 아이 #드럭",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-094,train-ut,566.410,574.750,8.340,"감앙 가난, 담뇨에 ㅎ.ㄴ- ㅎ.ㅌ니불에 헨 두 개 헨 감앙 가난 거, 병완더레 들어가젠 허난,",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-095,train-ut,575.310,577.710,2.400,"거 이불은 줍데다, 담뇨허고 이불은.",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-096,train-ut,578.500,588.620,10.120,"겐 그거 이젠, 포따리에 싼 가는 것에 싼 이젠, 어디 갈 #때 #보난 여관을 빌어야 헐거 아니? 경헌디, 보호자 데기실이",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-097,train-ut,588.620,591.310,2.690,"데기실이 잇덴 헨에 그디레 간 보난,",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-098,train-ut,591.910,598.300,6.390,"참 오망오망덜 아잔야, 헨 들어가는디 이불포영 놔둰,",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-099,train-ut,599.100,603.570,4.470,"그딜 사난, 진주, 그 여잔가?",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-100,train-ut,604.280,607.760,3.480,"젊은 장사하는, 막 잘도 고마웁데다게.",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-101,train-ut,608.770,611.450,2.680,"나신디 ""오널사 왓우꽈?""",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-102,train-ut,612.050,617.180,5.130,"왓우꽈?"" 경허난, ""아이고 여기 오널도 제주도서 왓우다"" 경허난,",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-103,train-ut,617.960,621.750,3.790,"""아이고"" ""저어..."" 게난",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-104,train-ut,622.460,626.250,3.790,"ㅈ.끗디 친척 잇엉 갈거우꽈"" 허- 듣데, 경허난,",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-105,train-ut,627.000,635.760,8.760,"""에이고"" 뭐 물 먹을- 물 마실라고? 아니 아니 궨찮수다. 커피? 커피 끌령 먹으라, 여기 커피 이시에. 여 거 머 끓여- 커피 끓여 먹으라, 고구마에. 야,",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-106,train-ut,636.560,639.830,3.270,"커피 저 안에 저 아-, 저디 있어, 저 하나 영 알로 뻬어.",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-107,train-ut,640.740,643.750,3.010,"경허난, ""아이고, 아주머니,",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-108,train-ut,644.260,652.320,8.060,"저예,"" ""여관에 가믄 에기가 죽엄신디 살암심디 전화번호 잘 못허믄,"" ""여관에 가믄,",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-109,train-ut,653.030,655.580,2.550,"잘 몰릅네다."" ""여기에",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
